dayType,date,deviceType,Channel,Users,OrderCount,FirstTimeUsers,ReturningUsers
SALE,20230803,WAP,SEO,8415,150,8406,9
SALE,20230811,WEB,Direct,19516,2,18483,1033
SALE,20230811,WEB,whatsapp,34,0,26,8
SALE,20230811,WAP,SEO,8663,126,8648,15
SALE,20230811,WEB,FB,193,0,116,77
SALE,20230811,WAP,Direct,33523,948,33363,160
SALE,20230811,WEB,SEO,2153,0,1901,252
SALE,20230811,WAP,Others,85473,8258,85171,302
SALE,20230811,WAP,Google,83522,2995,83375,147
SALE,20230811,WEB,Google,1091,6,904,187
SALE,20230811,WEB,Others,1140,5,759,381
SALE,20230811,WAP,FB,100397,8007,100253,144
SALE,20230811,WAP,whatsapp,1670,114,1662,8
SALE,20230812,WEB,whatsapp,26,0,20,6
SALE,20230812,WAP,Others,100775,10629,100445,330
SALE,20230812,WAP,whatsapp,1483,166,1469,14
SALE,20230812,WEB,Direct,15823,3,14947,876
SALE,20230812,WEB,Others,991,2,705,286
SALE,20230812,WAP,Google,60345,2439,60207,138
SALE,20230812,WAP,FB,171191,12556,170982,209
SALE,20230812,WAP,Direct,33822,1101,33703,119
SALE,20230812,WAP,SEO,8637,158,8618,19
SALE,20230812,WEB,Google,909,1,753,156
SALE,20230812,WEB,SEO,1889,0,1670,219
SALE,20230812,WEB,FB,297,1,207,90
SALE,20230901,WAP,FB,199062,13758,198849,213
SALE,20230901,WEB,FB,317,0,215,102
SALE,20230901,WEB,Google,1289,3,1072,217
SALE,20230901,WEB,Direct,24218,1,23251,967
SALE,20230901,WEB,SEO,2466,0,2166,300
SALE,20230901,WAP,SEO,7214,88,7199,15
SALE,20230901,WAP,Google,76632,2834,76484,148
SALE,20230901,WEB,whatsapp,17,0,13,4
SALE,20230901,WAP,whatsapp,1044,77,1039,5
SALE,20230901,WAP,Others,103678,10988,103344,334
SALE,20230901,WAP,Direct,37429,1438,37299,130
SALE,20230901,WEB,Others,957,3,594,363
SALE,20230902,WEB,Direct,36178,0,35418,760
SALE,20230902,WAP,SEO,7420,126,7410,10
SALE,20230902,WEB,Google,1077,11,898,179
SALE,20230902,WEB,FB,316,0,206,110
SALE,20230902,WAP,FB,237381,15577,237126,255
SALE,20230902,WEB,Others,825,9,563,262
SALE,20230902,WAP,Google,80851,3063,80689,162
SALE,20230902,WAP,Direct,39438,1527,39330,108
SALE,20230902,WAP,Others,122241,12821,121932,309
SALE,20230902,WEB,SEO,2130,1,1868,262
SALE,20230902,WAP,whatsapp,1121,83,1112,9
SALE,20230902,WEB,whatsapp,32,0,24,8
SALE,20230721,WAP,Direct,38257,1464,38119,138
SALE,20230721,WEB,whatsapp,36,0,26,10
SALE,20230721,WAP,FB,201471,16660,201205,266
SALE,20230721,WEB,SEO,2718,0,2378,340
SALE,20230721,WEB,Google,1026,5,872,154
SALE,20230721,WEB,Direct,24261,3,23232,1029
SALE,20230721,WEB,Others,1285,3,890,395
SALE,20230721,WAP,Google,72889,3430,72730,159
SALE,20230721,WEB,FB,213,0,131,82
SALE,20230721,WAP,Others,122155,14395,121758,397
SALE,20230721,WAP,SEO,8881,147,8863,18
SALE,20230721,WAP,whatsapp,1816,178,1796,20
SALE,20231010,WAP,Others,103958,9828,103672,286
SALE,20231010,WAP,Direct,41094,1658,40931,163
SALE,20231010,WAP,Google,52286,2133,52192,94
SALE,20231010,WEB,FB,608,0,450,158
SALE,20231010,WEB,SEO,2858,1,2546,312
SALE,20231010,WEB,Direct,27867,3,26815,1052
SALE,20231010,WAP,whatsapp,979,94,975,4
SALE,20231010,WAP,SEO,7320,114,7302,18
SALE,20231010,WEB,whatsapp,22,0,10,12
SALE,20231010,WEB,Others,972,2,706,266
SALE,20231010,WEB,Google,1018,1,898,120
SALE,20231010,WAP,FB,196373,12186,196149,224
SALE,20230821,WAP,FB,279642,17983,279358,284
SALE,20230821,WEB,FB,507,0,342,165
SALE,20230821,WEB,Google,1256,8,1042,214
SALE,20230821,WAP,SEO,6946,113,6929,17
SALE,20230821,WEB,Others,1255,4,899,356
SALE,20230821,WEB,Direct,17648,7,16666,982
SALE,20230821,WEB,SEO,2683,0,2338,345
SALE,20230821,WAP,Google,89866,3737,89710,156
SALE,20230821,WEB,whatsapp,21,0,15,6
SALE,20230821,WAP,Direct,38363,1664,38227,136
SALE,20230821,WAP,Others,138379,14007,138028,351
SALE,20230821,WAP,whatsapp,671,59,666,5
SALE,20231008,WEB,Others,872,2,663,209
SALE,20231008,WEB,Direct,21727,0,21174,553
SALE,20231008,WEB,FB,441,0,300,141
SALE,20231008,WAP,Others,103555,11020,103256,299
SALE,20231008,WAP,FB,188828,13555,188612,216
SALE,20231008,WAP,SEO,7957,118,7946,11
SALE,20231008,WAP,whatsapp,900,66,896,4
SALE,20231008,WEB,whatsapp,9,1,4,5
SALE,20231008,WEB,Google,760,3,648,112
SALE,20231008,WAP,Direct,41533,1532,41385,148
SALE,20231008,WEB,SEO,2130,3,1894,236
SALE,20231008,WAP,Google,48349,2291,48253,96
SALE,20231001,WEB,SEO,1963,0,1751,212
SALE,20231001,WAP,FB,262928,17839,262648,280
SALE,20231001,WAP,Direct,44016,2024,43853,163
SALE,20231001,WEB,Others,863,3,658,205
SALE,20231001,WAP,Others,133751,13930,133418,333
SALE,20231001,WAP,whatsapp,889,71,887,2
SALE,20231001,WEB,Direct,20463,4,19923,540
SALE,20231001,WEB,Google,973,2,825,148
SALE,20231001,WEB,FB,518,3,370,148
SALE,20231001,WAP,SEO,8229,113,8210,19
SALE,20231001,WAP,Google,83174,3452,83050,124
SALE,20231001,WEB,whatsapp,11,0,4,7
SALE,20230916,WAP,Direct,39565,1561,39458,107
SALE,20230916,WAP,whatsapp,677,61,673,4
SALE,20230916,WEB,Others,913,0,614,299
SALE,20230916,WAP,FB,209485,16004,209235,250
SALE,20230916,WEB,Direct,14780,4,14008,772
SALE,20230916,WEB,SEO,2224,0,1993,231
SALE,20230916,WEB,FB,517,1,363,154
SALE,20230916,WAP,Google,66845,2977,66754,91
SALE,20230916,WEB,Google,961,1,840,121
SALE,20230916,WAP,SEO,7082,71,7075,7
SALE,20230916,WAP,Others,107966,12415,107682,284
SALE,20230916,WEB,whatsapp,12,0,7,5
SALE,20230928,WAP,Google,64273,2973,64160,113
SALE,20230928,WAP,FB,150689,11761,150513,176
SALE,20230928,WAP,Direct,40768,1696,40622,146
SALE,20230928,WEB,SEO,2543,0,2270,273
SALE,20230928,WAP,Others,90995,9849,90698,297
SALE,20230928,WAP,SEO,7592,113,7579,13
SALE,20230928,WEB,Direct,19723,5,18765,958
SALE,20230928,WAP,whatsapp,892,112,886,6
SALE,20230928,WEB,Google,929,6,815,114
SALE,20230928,WEB,Others,1166,1,850,316
SALE,20230928,WEB,FB,312,0,197,115
SALE,20230928,WEB,whatsapp,19,1,10,9
SALE,20230804,WAP,Google,101300,3386,101111,189
SALE,20230804,WEB,FB,303,0,209,94
SALE,20230804,WAP,SEO,8355,143,8341,14
SALE,20230804,WEB,Others,1588,7,1146,442
SALE,20230804,WEB,SEO,2345,0,2039,306
SALE,20230804,WEB,Direct,18993,5,18021,972
SALE,20230804,WEB,whatsapp,19,0,11,8
SALE,20230804,WAP,Direct,36916,1435,36776,140
SALE,20230804,WAP,whatsapp,1774,152,1764,10
SALE,20230804,WEB,Google,1310,8,1111,199
SALE,20230804,WAP,Others,154455,14011,154002,453
SALE,20230804,WAP,FB,226265,16227,226008,257
SALE,20231009,WEB,Others,1126,7,761,365
SALE,20231009,WEB,Direct,19089,4,18130,959
SALE,20231009,WAP,Direct,41092,1646,40935,157
SALE,20231009,WAP,SEO,7074,107,7062,12
SALE,20231009,WEB,FB,527,3,374,153
SALE,20231009,WAP,Others,104045,10192,103762,283
SALE,20231009,WAP,Google,45899,1930,45806,93
SALE,20231009,WEB,SEO,2799,0,2478,321
SALE,20231009,WEB,Google,865,4,734,131
SALE,20231009,WAP,whatsapp,992,63,984,8
SALE,20231009,WAP,FB,210861,13827,210632,229
SALE,20231009,WEB,whatsapp,19,0,13,6
BAU,20230802,WAP,Others,129236,11314,128873,363
BAU,20230802,WEB,Others,1317,4,898,419
BAU,20230802,WAP,FB,262474,15722,262221,253
BAU,20230802,WEB,SEO,2446,1,2166,280
BAU,20230802,WAP,Direct,36375,1180,36221,154
BAU,20230802,WEB,FB,354,0,245,109
BAU,20230802,WEB,Google,1328,4,1129,199
BAU,20230802,WAP,Google,84754,2772,84576,178
BAU,20230802,WEB,Direct,20674,4,19697,977
BAU,20230802,WAP,SEO,8498,148,8488,10
BAU,20230802,WEB,whatsapp,21,0,15,6
BAU,20230802,WAP,whatsapp,1054,80,1049,5
BAU,20231003,WAP,Google,70160,2411,70045,115
BAU,20231003,WAP,FB,265140,14125,264904,236
BAU,20231003,WEB,whatsapp,22,0,17,5
BAU,20231003,WEB,Google,972,3,835,137
BAU,20231003,WAP,SEO,7125,79,7113,12
BAU,20231003,WEB,FB,579,2,412,167
BAU,20231003,WEB,SEO,2665,0,2359,306
BAU,20231003,WAP,Direct,38214,1331,38057,157
BAU,20231003,WEB,Others,1062,1,725,337
BAU,20231003,WEB,Direct,25876,1,24935,941
BAU,20231003,WAP,Others,121344,9856,121077,267
BAU,20231003,WAP,whatsapp,1078,55,1076,2
BAU,20230907,WEB,Others,977,0,654,323
BAU,20230907,WAP,whatsapp,1730,77,1723,7
BAU,20230907,WAP,Direct,36730,1328,36599,131
BAU,20230907,WEB,SEO,2343,0,2080,263
BAU,20230907,WAP,Google,69962,2329,69827,135
BAU,20230907,WEB,Direct,21190,6,20301,889
BAU,20230907,WAP,FB,232391,14871,232136,255
BAU,20230907,WAP,SEO,6851,84,6843,8
BAU,20230907,WEB,whatsapp,32,0,20,12
BAU,20230907,WEB,Google,1091,4,912,179
BAU,20230907,WEB,FB,273,0,165,108
BAU,20230907,WAP,Others,108323,10369,108037,286
BAU,20230710,WEB,SEO,2967,1,2611,356
BAU,20230710,WEB,Google,1031,1,870,161
BAU,20230710,WAP,whatsapp,1666,89,1655,11
BAU,20230710,WAP,FB,404136,21886,403770,366
BAU,20230710,WAP,Google,73891,2744,73745,146
BAU,20230710,WEB,Direct,15667,3,14613,1054
BAU,20230710,WEB,FB,342,0,245,97
BAU,20230710,WAP,Direct,42874,1355,42707,167
BAU,20230710,WAP,SEO,8548,111,8532,16
BAU,20230710,WEB,Others,1272,2,863,409
BAU,20230710,WAP,Others,171965,14761,171536,429
BAU,20230710,WEB,whatsapp,22,0,16,6
BAU,20231020,WEB,SEO,2201,2,1920,281
BAU,20231020,WAP,SEO,6086,81,6076,10
BAU,20231020,WEB,FB,314,0,191,123
BAU,20231020,WEB,Others,1019,1,679,340
BAU,20231020,WAP,FB,161559,10823,161363,196
BAU,20231020,WEB,whatsapp,15,0,12,3
BAU,20231020,WAP,Others,87225,7800,86964,261
BAU,20231020,WEB,Direct,16240,0,15018,1222
BAU,20231020,WAP,Direct,34059,1094,33939,120
BAU,20231020,WAP,Google,55690,1932,55599,91
BAU,20231020,WAP,whatsapp,962,59,956,6
BAU,20231020,WEB,Google,805,3,681,124
BAU,20230730,WEB,whatsapp,4,0,1,3
BAU,20230730,WEB,Direct,21912,7,21383,529
BAU,20230730,WAP,FB,239922,15390,239652,270
BAU,20230730,WEB,SEO,1837,0,1657,180
BAU,20230730,WAP,Google,90482,3029,90315,167
BAU,20230730,WEB,FB,323,0,223,100
BAU,20230730,WAP,Direct,39667,1293,39507,160
BAU,20230730,WAP,SEO,9490,158,9475,15
BAU,20230730,WEB,Google,1096,4,941,155
BAU,20230730,WEB,Others,986,3,711,275
BAU,20230730,WAP,Others,123044,11068,122668,376
BAU,20230730,WAP,whatsapp,329,11,326,3
BAU,20230729,WAP,Others,118528,10778,118187,341
BAU,20230729,WEB,Direct,20227,7,19376,851
BAU,20230729,WEB,whatsapp,10,1,6,4
BAU,20230729,WAP,Google,89216,2867,89074,142
BAU,20230729,WEB,FB,310,0,216,94
BAU,20230729,WAP,SEO,8870,158,8852,18
BAU,20230729,WAP,whatsapp,439,28,434,5
BAU,20230729,WAP,Direct,38202,1241,38092,110
BAU,20230729,WAP,FB,223827,14250,223579,248
BAU,20230729,WEB,Google,1171,6,1026,145
BAU,20230729,WEB,Others,976,1,662,314
BAU,20230729,WEB,SEO,2354,0,2061,293
BAU,20230824,WEB,SEO,2550,0,2194,356
BAU,20230824,WAP,Others,128529,11869,128219,310
BAU,20230824,WAP,Google,83893,2609,83746,147
BAU,20230824,WEB,whatsapp,10,0,6,4
BAU,20230824,WEB,Google,1114,4,921,193
BAU,20230824,WEB,Others,908,1,612,296
BAU,20230824,WAP,FB,285646,17774,285370,276
BAU,20230824,WEB,FB,418,0,270,148
BAU,20230824,WAP,SEO,6540,87,6529,11
BAU,20230824,WAP,whatsapp,606,42,601,5
BAU,20230824,WEB,Direct,19893,1,18953,940
BAU,20230824,WAP,Direct,38044,1441,37900,144
BAU,20230911,WEB,Direct,14968,1,13992,976
BAU,20230911,WAP,whatsapp,795,30,793,2
BAU,20230911,WAP,FB,299967,16406,299693,274
BAU,20230911,WAP,Google,70512,2292,70360,152
BAU,20230911,WEB,whatsapp,21,0,14,7
BAU,20230911,WEB,SEO,2579,0,2306,273
BAU,20230911,WEB,FB,759,3,583,176
BAU,20230911,WEB,Others,1139,4,771,368
BAU,20230911,WAP,SEO,7034,81,7024,10
BAU,20230911,WAP,Others,127301,11041,127032,269
BAU,20230911,WAP,Direct,37866,1203,37732,134
BAU,20230911,WEB,Google,1106,0,928,178
BAU,20230731,WEB,FB,372,1,261,111
BAU,20230731,WEB,Direct,18859,4,17886,973
BAU,20230731,WAP,Direct,37467,1227,37309,158
BAU,20230731,WAP,Others,131767,11607,131433,334
BAU,20230731,WAP,SEO,8875,108,8858,17
BAU,20230731,WAP,FB,269894,16095,269634,260
BAU,20230731,WEB,Others,1350,15,959,391
BAU,20230731,WEB,whatsapp,7,0,3,4
BAU,20230731,WAP,whatsapp,271,15,267,4
BAU,20230731,WAP,Google,84050,2740,83917,133
BAU,20230731,WEB,SEO,2582,0,2272,310
BAU,20230731,WEB,Google,1490,2,1321,169
BAU,20230728,WEB,Direct,22188,0,21199,989
BAU,20230728,WAP,whatsapp,1784,126,1776,8
BAU,20230728,WAP,Google,73212,2627,73050,162
BAU,20230728,WEB,Google,1032,2,847,185
BAU,20230728,WAP,FB,216568,13653,216317,251
BAU,20230728,WAP,Others,114706,10373,114344,362
BAU,20230728,WEB,SEO,2571,0,2229,342
BAU,20230728,WEB,whatsapp,27,0,13,14
BAU,20230728,WEB,FB,351,1,238,113
BAU,20230728,WAP,Direct,36488,1096,36360,128
BAU,20230728,WAP,SEO,8625,114,8610,15
BAU,20230728,WEB,Others,1183,2,821,362
BAU,20231019,WEB,Google,940,5,797,143
BAU,20231019,WAP,SEO,6231,73,6218,13
BAU,20231019,WEB,SEO,2366,0,2069,297
BAU,20231019,WAP,Google,56068,2125,55983,85
BAU,20231019,WAP,FB,176548,10197,176342,206
BAU,20231019,WEB,Others,1200,5,804,396
BAU,20231019,WAP,whatsapp,988,53,983,5
BAU,20231019,WAP,Direct,35303,1107,35189,114
BAU,20231019,WEB,Direct,13670,2,12438,1232
BAU,20231019,WEB,whatsapp,22,0,15,7
BAU,20231019,WAP,Others,91269,7621,91004,265
BAU,20231019,WEB,FB,361,1,234,127
SALE,20230904,WEB,whatsapp,27,0,17,10
SALE,20230904,WEB,Direct,19647,2,18656,991
SALE,20230904,WEB,SEO,2685,1,2355,330
SALE,20230904,WAP,FB,291612,18723,291321,291
SALE,20230904,WAP,SEO,7254,120,7234,20
SALE,20230904,WEB,Others,1113,1,770,343
SALE,20230904,WAP,whatsapp,1134,97,1122,12
SALE,20230904,WEB,FB,297,0,178,119
SALE,20230904,WAP,Google,85756,3551,85583,173
SALE,20230904,WAP,Direct,40654,1857,40497,157
SALE,20230904,WEB,Google,1172,7,972,200
SALE,20230904,WAP,Others,140397,14798,140002,395
BAU,20230825,WAP,whatsapp,553,20,549,4
BAU,20230825,WAP,Others,130285,11728,129978,307
BAU,20230825,WEB,whatsapp,14,0,8,6
BAU,20230825,WAP,FB,279032,16867,278769,263
BAU,20230825,WAP,SEO,6468,83,6453,15
BAU,20230825,WEB,Google,1224,3,1020,204
BAU,20230825,WEB,Direct,23721,0,22762,959
BAU,20230825,WAP,Google,81823,2561,81685,138
BAU,20230825,WEB,Others,1042,2,714,328
BAU,20230825,WAP,Direct,36223,1263,36095,128
BAU,20230825,WEB,FB,357,1,242,115
BAU,20230825,WEB,SEO,2444,0,2117,327
BAU,20230706,WAP,whatsapp,2053,116,2044,9
BAU,20230706,WAP,SEO,8630,105,8617,13
BAU,20230706,WEB,FB,353,1,230,123
BAU,20230706,WEB,whatsapp,29,0,21,8
BAU,20230706,WEB,Others,1294,3,866,428
BAU,20230706,WAP,FB,368881,23844,368497,384
BAU,20230706,WEB,SEO,3023,0,2669,354
BAU,20230706,WEB,Direct,23786,3,22767,1019
